"Title","Author","Price","Genre","Stock","Status","Condition","Format","Special Feature","Synopsis","ISBN","Publisher"
"Cloud Atlas","Mitchell, David","200.0","Fate and fatalism / Fiction / Reincarnation / Fantasy / Fantasy fiction / Imaginary Voyages / Fiction, fantasy, historical / nyt:trade-fiction-paperback=2012-08-19 / New York Times bestseller / New York Times reviewed / Science fiction / historical fiction / ","","","","","","","'0340822783","Hodder & Stoughton"
"Hunger Games, The","Collins, Suzanne","120.0","Juvenile Fiction / Action & Adventure / General / Juvenile Fiction / Fantasy & Magic","","","","","","Sixteen-year-old Katniss Everdeen regards it as a death sentence when she is forced to represent her district in the annual Hunger Games, a fight to the death on live TV. But Katniss has been close to death before-and survival, for her, is second nature. The Hunger Games is a searing novel set in a future with unsettling parallels to our present. Welcome to the deadliest reality TV show ever...","'9781407109084","Scholastic"
"One Step Too Far","Gardner, Lisa","200.0","Fiction / General / Fiction / Mystery & Detective / General / Fiction / Mystery & Detective / Police Procedural / Fiction / Thrillers / Suspense / Fiction / Thrillers / Crime / Fiction / Crime","","","","","","From #1 New York Times bestselling author Lisa Gardner, a thrilling new novel that sends Frankie Elkin into the woods in search of a lost man-and the shocking truth about why he went missing in the first place","'9781529157895","Penguin Random House"
"Best Days of Our Lives, The","Diamond, Lucy|Mongredien, Sue","99.0","Fiction / General / Fiction / Romance / General / Fiction / Romance / Contemporary / Fiction / Women","","","","","","'Deeply moving' Katie Fforde 'Wise and wonderful' Veronica Henry 'Compelling and beautifully written' Sarah Morgan The McKenzies are your average complicated family: knotted together by in-jokes, arguments and a few closely-guarded secrets. Thirty-something sisters Leni and Alice became inseparable following the divorce of their parents, Belinda and Tony, with younger brother Will always trying to keep up. They're not perfect, but they love each other - most of the time, anyway. But then one ordinary summer day, an accident changes the family forever. Questions arise, guilt surfaces and secrets begin to emerge. Scattered by grief and seeking comfort in the unlikeliest of places, can the McKenzies find their way back to each other? Set over the course of one life-changing year, The Best Days of Our Lives is a warm, big-hearted and poignant story, full of hope, heartache and love. SEE WHAT EVERYONE'S SAYING ABOUT THE BEST DAYS OF OUR LIVES 'So real and so romantic' Laura Kemp 'Deeply moving' 5* Reader Review 'This book touched my heart' Sarah Morgan 'So uplifting and comforting' 5* Reader Review 'Poignant, yet uplifting and comforting' My Weekly","'9781529420425","Hodder & Stoughton"
"House of Hidden Secrets, The","Rose, C. E.","200.0","English literature / ","","","","","","","'9781800326064","Canelo"
"Book Thief, The","Zusak, Markus","350.0","Fiction / General","","","","","","HERE IS A SMALL FACT - YOU ARE GOING TO DIE 1939. Nazi Germany. The country is holding its breath. Death has never been busier. Liesel, a nine-year-old girl, is living with a foster family on Himmel Street. Her parents have been taken away to a concentration camp. Liesel steals books. This is her story and the story of the inhabitants of her street when the bombs begin to fall. SOME IMPORTANT INFORMATION - THIS NOVEL IS NARRATED BY DEATH It's a small story, about: a girl an accordionist some fanatical Germans a Jewish fist fighter and quite a lot of thievery. ANOTHER THING YOU SHOULD KNOW - DEATH WILL VISIT THE BOOK THIEF THREE TIMES","'9780552779739","Black Swan"
"Moon Gate, The","Geard, Amanda","200.0","Fiction / Historical / General / Fiction / Historical / 20th Century / World War II / Fiction / Romance / Historical / General / Fiction / War & Military","","","","","","1975: Artist Willow Hawkins, and her new husband, Ben, can't believe their luck when an anonymous benefactor leaves them a house on the remote Tasmanian coast. Confused and delighted, they set out to unmask Towerhurst's previous owner - unwittingly altering the course of their lives. --Provided by publisher.","'9781472283771","Headline Publishing Group"
"Eleanor Oliphant is Completely Fine","Honeyman, Gail","190.0","Chick lit","","","","","","Over 2.5 million copies sold 'Funny, touching and unpredictable' Jojo Moyes 'Heartwrenching and wonderful' Nina Stibbe Winner of Costa First Novel Award, a No.1 Sunday Times bestseller and the Book of the Year Eleanor Oliphant has learned how to survive - but not how to live Eleanor Oliphant leads a simple life. She wears the same clothes to work every day, eats the same meal deal for lunch every day and buys the same two bottles of vodka to drink every weekend. Eleanor Oliphant is happy. Nothing is missing from her carefully timetabled life. Except, sometimes, everything. One simple act of kindness is about to shatter the walls Eleanor has built around herself. Now she must learn how to navigate the world that everyone else seems to take for granted - while searching for the courage to face the dark corners she's avoided all her life. Change can be good. Change can be bad. But surely any change is better than... fine? 'Moving, funny and devastating' The Herald 'Unforgettable, brilliant, funny and life-affirming' Daily Mail 'I adored it. Skilled, perceptive, Eleanor's world will feel familiar to you from the very first page. An outstanding debut!' Joanna Cannon","'9780008172145","HarperCollins Publishers Limited"
"Hobbit, The","Tolkien, J.R.R.","150.0","Arkenstone / Battle of Five Armies / invisibility / thrushes / eagles / hobbits / wizards / dragons / dwarves / elves / men / trolls / goblins / giant spiders / the one ring / juvenile fantasy / YOUNG ADULT FICTION / Fantasy fiction / Juvenile fiction / Fiction / Fantasy / Classics / General / Media Tie-In / children's books / juvenile works / Teen & Young Adult literature / English Fantasy fiction / Specimens / Juvenile Fantasy fiction / Toy and movable books / Magic in fiction / Open Library Staff Picks / juvenile literature / Pictorial works / Magic / Quests (Expeditions) / Graphic novels / Dragons in fiction / Children's stories / Ficción fantástica inglesa / Fantasy in fiction / Translations into Russian / Ficción / Middle Earth (Imaginary place) / Tierra Media (Lugar imaginario) / Bilbo Baggins (Fictitious character) / Dwarfs / Comic books, strips / Reading Level-Grade 11 / Reading Level-Grade 12 / British and irish fiction (fictional works by one author) / Fiction, fantasy, general / Middle earth (imaginary place), fiction / Comics & graphic novels, fantasy / Science fiction, fantasy, horror / Child and youth fiction / Gollum (Fictitious character) / Hobbits (Fictitious characters) / Baggins, bilbo (fictitious character), fiction / Children's fiction / Gandalf (fictitious character), fiction / Baggins, frodo (fictitious character), fiction / Characters / Characters and characteristics / Hobbit, an unexpected journey (Motion picture) / Hobbit (Tolkien, J.R.R.) / YOUNG ADULT FICTION / Classics / YOUNG ADULT FICTION / Fantasy / General / YOUNG ADULT FICTION / Media Tie-In / Motion pictures / Fiction, fantasy, epic / English literature / Fiction, media tie-in / Courage / Literatura angielska dla młodzieży / Tłumaczenia polskie / Novela Inglesa / Spanish language materials / Untranslated / Terre du Milieu (Lieu imaginaire) / Romans, nouvelles / Hobbits (Personnages fictifs) / Novela fantástica / Magiciens / Schultheater / Fiction, fairy tales, folk tales, legends & mythology / Fiction, fantasy, dragons & mythical creatures / Comics & graphic novels, fantasy, general / Good and evil / English Fantasy literature / English fiction / Adventure stories / ","","","","","","","'9780006754022","Collins"
"I Am Not a Number","Heathfield, Lisa","150.0","Juvenile Nonfiction / History / Military & Wars / Juvenile Fiction / Love & Romance / Juvenile Fiction / Social Themes / Values & Virtues / Juvenile Fiction / Thrillers & Suspense / Young Adult Fiction / Dystopian / Young Adult Fiction / Social Themes / Emigration & Immigration / Young Adult Fiction / Social Themes / Prejudice & Racism / Young Adult Fiction / Social Themes / Violence","","","","","","The powerful and heart-wrenching new novel from Lisa Heathfield, award-winning author of Seed and Paper Butterflies. Perfect for fans of Sarah Crossan, Louise O'Neill and Lisa Williamson.","'9781405293860","Farshore"
"Love Is for Losers","Brueggemann, Wibke","200.0","Juvenile Nonfiction / Health & Daily Living / Physical Impairments / Juvenile Nonfiction / Social Topics / Dating & Relationships / Juvenile Fiction / Humorous Stories / Juvenile Fiction / Love & Romance / Young Adult Fiction / Coming of Age / Young Adult Fiction / Family / Alternative Family / Young Adult Fiction / Girls & Women / Young Adult Fiction / Humorous / General / Young Adult Fiction / LGBTQ / Young Adult Fiction / People & Places / Europe / Young Adult Fiction / Romance / LGBTQ / Young Adult Fiction / Romance / Romantic Comedy / Young Adult Fiction / Social Themes / Dating & Sex / Young Adult Fiction / Disabilities","","","","","","A laugh out loud look at first love, loss and trying to avoid the girl of your dreams. What a stupid expression that is in the first place: To fall in love. Like you fall into a ditch or something. Maybe people need to look where they're going. As far as Phoebe Davis is concerned, love is to be avoided at all costs. Why would you spend your life worrying about something that turns you into a complete moron? If her best friend Polly is anything to go by, the first sniff of a relationship makes you forget about your friends (like, hello?), get completely obsessed with sex (yawn) and bang on constantly about a person who definitely isn't as great as you think they are. So Phoebe isn't going to fall in love, ever. But then she meets Emma . . . Love is for Losers by Wibke Brueggemann is a hilarious, life-affirming novel about all the big stuff: love, sex, death, family, heartbreak, kittens . . . and kisses that turn the whole world upside down.","'9781529033724","Pan Macmillan"
"Five Years From Now","Toon, Paige","200.0","Fiction / General / Fiction / Romance / General / Fiction / Romance / Contemporary / Fiction / Romance / Romantic Comedy / Fiction / Romance / Later in Life / Fiction / Coming of Age / Fiction / Women / Fiction / Family Life / General","","","","","","'Tender, heartbreaking and magical . . . I went from feeling warm and fuzzy to shock, delight before, finally, well - you'll just have to read it!' GIOVANNA FLETCHER What if you met the right person at the wrong time? Nell and Van meet as children when their parents fall in love, but soon they are forced worlds apart. Five years later, they find each other. Their bond is rekindled and new feelings take hold, but once again they must separate. For the next two decades, fate brings Nell and Van together every five years, as life and circumstance continue to divide them. Will they ever find true happiness? And will it be together? 'One day, maybe five years from now, you'll look back and understand why this happened...' ** PRAISE FOR PAIGE TOON ** 'You'll love it, cry buckets and be uplifted' MARIAN KEYES 'Paige really ratchets up the tension. You'll be in a reading frenzy by the end'LISA JEWELL 'Gave me all the feels . . . I loved it'LINDSEY KELK 'Poignant and lovely, warm and wise'MILLY JOHNSON 'A gorgeous, warm novel'ADELE PARKS 'Paige's writing is brilliant!'MHAIRI McFARLANE 'Wonderfully heartfelt... her best book yet' heat, five star review 'For smart, romantic fiction, look no further than the new book from bestselling Paige Toon' RED 'Witty, fun and impossible to put down!' CLOSER","'9781471162589","Simon & Schuster, Limited"
"Year I Met You, The","Ahern, Cecelia","170.0","Fiction / General / Fiction / Classics / Fiction / Romance / Contemporary / Fiction / Women / Fiction / Mashups / Fiction / Small Town & Rural","","","","","","*Winner of the Irish Popular Fiction Book of the Year* A thoughtful, captivating and ultimately uplifting novel from this uniquely talented author The year that changed my life. For Jasmine, losing her job felt like losing everything. The year I found home. With a life built around her career and her beloved sister Heather, suddenly her world becomes the house and garden she has hardly seen and the neighbours she has yet to meet. The year I met you. But being fired is just the beginning for Jasmine. In the year that unfolds she learns more about herself than she could ever imagine and more about other people than she ever dreamed. Sometimes friendship is found in the most unexpected of places.""","'9780007501793","HarperCollins Publishers Limited"
"What Lies Beneath","Croft, Adam","110.0","Fiction / Mystery & Detective / General / Fiction / Mystery & Detective / Police Procedural / Fiction / Thrillers / Suspense / Fiction / Thrillers / General / Fiction / Thrillers / Crime / Fiction / Crime","","","","","","A peaceful Sunday morning in Rutland is shattered when a dead body is discovered on the rocks at Normanton Church. The victim has been laid out in a crucifixion pose, facing the altar. DI Caroline Hills is certain there's a religious connection - one which threatens the tranquility of life in the area. The killer has gone to extraordinary lengths to make the symbolism clear. And the deaths will continue until Caroline and DS Dexter Antoine uncover the truth behind the dark secret - and what lies beneath.","'9781912599479","Black Cannon Publishing"
"Dont Want To Miss A Thing","Mansell, Jill","170.0","","","","","","","","'9781472239518","Headline Publishing Group"
"Track of Sand, The","Camilleri, Andrea","110.0","Fiction / Mystery & Detective / Police Procedural / Fiction / Thrillers / Suspense / Fiction / Literary","","","","","","“You either love Andrea Camilleri or you haven’t read him yet. Each novel in this wholly addictive, entirely magical series, set in Sicily and starring a detective unlike any other in crime fiction, blasts the brain like a shot of pure oxygen. Aglow with local color, packed with flint-dry wit, as fresh and clean as Mediterranean seafood — altogether transporting. Long live Camilleri, and long live Montalbano.” A.J. Finn, #1 New York Times bestselling author of The Woman in the Window Inspector Salvatore Montalbano wakes from strange dreams to find a gruesomely bludgeoned horse carcass in front of his seaside home. When his men came to investigate, the carcass has disappeared, leaving only a trail in the sand. Then his home is ransacked and the inspector is certain that the crimes are linked. As he negotiates both the glittering underworld of horseracing and the Mafia's connection to it, Montalbano is aided by his illiterate housekeeper, Adelina, and a Proustian memory of linguate fritte. Longtime fans and new readers alike will be charmed by Montalbano's blend of unorthodox methods, melancholy self-reflection, and love of good food.","'9780143117933","Penguin"
"Better Together","O'Flanagan, Sheila","150.0","Boarding houses","","","","","","The fabulously addictive new novel from No. 1 bestselling author Sheila O'Flanagan. When high-flying journalist Sheridan Gray loses her job, her boyfriend and her flat, she knows she must pick herself up and make a new start. But how will she adjust to small-town living and local reporting? Meanwhile, home-loving Nina Fallon's life is shattered when the exploits of her actor husband become national news. Now she's avoiding friends as she runs Ardbawn's guesthouse on her own. When Sheridan moves into Ardbawn, she realises Nina holds the key to a story that will make her name as a reporter again. But as she gets closer to the truth, Sheridan risks jeopardising her relationship with the man she has come to love. Is she better off going it alone? Or is love the greatest prize of all?","'9780755378401","Headline Review"
"Hidden Paige and Other Stories, The","Toon, Paige","200.0","Fiction / General / Fiction / Romance / General","","","","","","THE PERFECT CHRISTMAS GIFT FROM THE SUNDAY TIMES BESTSELLING AUTHOR One year after movie-star Joseph Strike swept schoolteacher Alice off her feet, she is spending Christmas in Cambridge, eagerly awaiting his arrival and contemplating whether a future in the spotlight is really what she wants. Will a Christmas wedding help convince her that love conquers all? Or will the life she'd be leaving behind be too much to lose? In this irresistible collection, Paige Toon reunites a much-loved cast from across her sixteen bestselling novels. Catch up with Johnny Be Good's rockstar Johnny Jefferson and his wife Meg as a shocking family secret is revealed; see what happens when Pictures of Lily's leading lady gets the exclusive chance to photograph Hollywood's hottest new couple; and find out whether Bronte from Thirteen Weddings chose the right man to spend her life with after all . . . This Christmas, Paige Toon brings you NINE witty and heartfelt romantic stories PUBLISHED IN PRINT FOR THE VERY FIRST TIME, as readers are whisked across the globe from movie premieres in LA to frosty Christmases in England. The perfect gift for you or someone you love! Praise for Paige Toon: 'Tender, heartbreaking and magical' GIOVANNA FLETCHER 'You'll love it, cry buckets and be uplifted!' MARIAN KEYES 'Poignant and lovely, warm and wise' MILLY JOHNSON 'Gave me all the feels . . . I loved it' LINDSEY KELK 'Filled with warmth and poignancy' CATHERINE ISAAC 'Wonderfully heartfelt' HEAT 'Witty, fun and impossible to put down' CLOSER 'For smart, romantic fiction look no further than the new book from bestselling Paige Toon' RED MAGAZINE 'Simply gorgeous' SUN *Includes A Christmas Wedding, One Perfect Christmas and Johnny's Girl, previously published as eBooks* *Includes content exclusive to The Hidden Paige*","'9781471179440","Simon & Schuster, Limited"
"Last Piece of My Heart, The","Toon, Paige","200.0","Fiction / General / Fiction / Romance / General","","","","","","'Wonderfully heartfelt... her best book yet!' heat, five star review 'A gorgeous, warm novel' ADELE PARKS When life feels like a puzzle, sometimes it's the small pieces that make up the bigger picture... Join Bridget on a journey to put her world back together. A successful travel journalist, Bridget has ambitions to turn her quirky relationship blog about the missing pieces of her heart into a book. But after a spate of rejections from publishers, she accepts an alternative proposition. Nicole Dupré died leaving behind a bestselling novel and an incomplete sequel. Tasked with finishing the book, Bridget is thankful to have her foot in the publishing door, even if it means relocating to Cornwall for the summer and answering to Nicole's grieving husband, Charlie... 'You'll laugh, you'll cry and be hooked from page one. A beautifully written, heart-wrenching journey of love and loss' OK! 'Poignant and lovely, warm and wise' MILLY JOHNSON 'Paige's writing is brilliant' MHAIRI McFARLANE 'I loved it' LINDSEY KELK 'Interrupting my weekend away from Twitter to say... I've just finished The Last Piece of my Heart. Bravo. Bravo' @owlsandstags '5 of 5 stars to The Last Piece of My Heart by Paige Toon' @overflowingklc 'I just finished The Last Piece of my Heart and it was AMAZING!!! I love it SO much!'@Livsescape Praise for The One We Fell in Love with: 'You'll love it, cry buckets and be uplifted' MARIAN KEYES 'I blubbed, I laughed and I fell in love... utterly heart-wrenching' GIOVANNA FLETCHER","'9781471162558","Simon & Schuster, Limited"
"Carve the Mark","Roth, Veronica","200.0","Juvenile Fiction / Action & Adventure / Survival Stories / Juvenile Fiction / Family / Siblings / Juvenile Fiction / Fantasy & Magic / Juvenile Fiction / Science Fiction / General / Young Adult Fiction / Action & Adventure / General / Young Adult Fiction / Fantasy / Epic / Young Adult Fiction / Romance / General / Young Adult Fiction / Science Fiction / Space Opera","","","","","","On a planet where violence and vengeance rule, in a galaxy where some are favored by fate, everyone develops a currentgift, a unique power meant to shape the future. While most benefit from their currentgifts, Akos and Cyra do not -- their gifts make them vulnerable to others control. Can they reclaim their gifts, their fates, and their lives, and reset the balance of power in this world? Cyra is the sister of the brutal tyrant who rules the Shotet people. Cyra's currentgift gives her pain and power -- something her brother exploits, using her to torture his enemies. But Cyra is much more than just a blade in her brothers hand: she is resilient, quick on her feet, and smarter than he knows. Akos is from the peace-loving nation of Thuvhe, and his loyalty to his family is limitless. Though protected by his unusual currentgift, once Akos and his brother are captured by enemy Shotet soldiers, Akos is desperate to get his brother out alive -- no matter what the cost. When Akos is thrust into Cyra's world, the enmity between their countries and families seems insurmountable. They must decide to help each other to survive -- or to destroy one another.","'9780008159498","HarperCollinsPublishers"
"Place Called Here, A","Ahern, Cecelia","200.0","Fiction / Literary / Fiction / Romance / Suspense","","","","","","Since Sandy Shortt's childhood schoolmate disappeared 20 years ago, Sandy has been obsessed with missing things. Finding becomes her goal. Sandy dedicates her life to finding the missing people, offering devastated families a flicker of hope. Jack is one of those desperate people. It's been a year since his brother, Donal vanished into thin air.","'9780007198900","HarperCollins"
"Blind Assassin, The","Atwood, Margaret","200.0","Fiction / Mystery & Detective / Historical","","","","","","“Ten days after the war ended, my sister Laura drove a car off a bridge.”   Iris Chase Griffen, married at eighteen to a wealthy industrialist but now poor and eighty-two, recalls her far from exemplary life, and the events leading up to her sister’s death, gradually revealing the carefully guarded Chase family secrets. Among these is a novel that earned the dead Laura Chase not only notoriety but also a devoted cult following. Sexually explicit for its time, The Blind Assassin describes a risky affair in the turbulent thirties between a wealthy young woman and a man on the run. During their secret meetings in rented rooms, the lovers concoct a pulp fantasy set on a distant planet. As the invented story twists through love and sacrifice and betrayal, so does the real one; while events in both move closer to war and catastrophe. By turns lyrical, outrageous, formidable, compelling and funny, this is a novel filled with deep humour and dark drama that comes together in a brilliant and astonishing final twist.","'9780771008917","McClelland & Stewart"
"Island of the Day Before, The","Eco, Umberto","200.0","Literary Collections / American / General","","","","","","""A profound and ingenious story artfully told . . . Renaissance battles, love poems, and sea journeys in the age of exploration."" --The New York Times Book Review Roberto della Griva is an Italian nobleman living in 1643. His mission is to travel the South Pacific and discover the means by which navigators can understand the mystery of longitude. After a violent storm, however, Roberto finds himself shipwrecked--on a ship. Swept from the Amaryllis, he has managed to pull himself aboard the Daphne, anchored in the bay of a beautiful island. The ship is fully provisioned, but the crew is missing. As Roberto explores the different cabinets in the hold, he remembers chapters from his youth: Ferrante, his imaginary evil brother; the siege of Casale, that meaningless chess move in the Thirty Years' War in which he lost his father; and the lessons given him on fencing, blasphemy, and the writing of love letters. The Island of the Day Before is a fascinating, lyrical tale about a young dreamer's search for love and meaning. ""A masterpiece . . . intellectually stimulating and dramatically intriguing."" --Chicago Tribune ""A story both thought provoking and surprisingly humorous."" USA Today ""Umberto Eco . . . is the last of the great 20th century polymathic fabulists in the tradition of Joyce and Nabokov and Borges."" The Wall Street Journal UMBERTO ECO is a professor of semiotics at the University of Bologna and the bestselling author of numerous novels and collections of essays. He lives in Milan. Translated from the Italian by William Weaver""","'0156030373","Harcourt"
"Silver Bay","Moyes, Jojo","200.0","Fiction / General / Fiction / Romance / General / Fiction / Women","","","","","","The stunning, RNA shortlisted novel by Jojo Moyes, internationally bestselling author of Me Before You, After You and the new bestseller Still Me. 'Compelling tale' - Heat Liza McCullen will never escape her past. But the unspoilt beaches and tight-knit community of Silver Bay offer the freedom and safety she craves - if not for herself, then for her young daughter, Hannah. Until Mike Dormer arrives as a guest in her aunt's hotel, and the peace of Silver Bay is shattered. The mild-mannered Englishman with his too-smart clothes and disturbing eyes could destroy everything Liza has worked so hard to protect: not only the family business and the bay that harbours her beloved whales, but also her conviction that she will never love - never deserve to love - again.","'9780340895931","Hodder & Stoughton"
"Versions of Us, The","Barnett, Laura","140.0","Family & Relationships / Love & Romance / Fiction / General / Fiction / Literary / Fiction / Psychological / Fiction / Romance / General / Fiction / Romance / Contemporary / Fiction / Romance / Suspense / Fiction / Women","","","","","","A NO. 1 SUNDAY TIMES BESTSELLER 'The beautiful love child of David Nicholl's One Day and Kate Atkinson's Life After Life' The Times What if one small decision could change the rest of your life? Eva and Jim are nineteen, and students at Cambridge, when their paths first cross in 1958. Jim is walking along a lane when a woman approaching him on a bicycle swerves to avoid a dog: what happens next will determine the rest of their lives. As we follow three different versions of their future - together, and apart - their love story takes on different incarnations, as it twists and turns to the conclusion in the present day. 'A triumphant debut.. a thoughtful, measured book about the interplay of chance and destiny in our lives' Sunday Telegraph 'An utterly convincing love story about two people destined to be together somehow, no matter what' The Times 'Like Kate Atkinson's Life After Life or the film Sliding Doors, this fine debut offers multiple ""what ifs""... Involving and poignant' The Sunday Times 'The tantalising ""what if?"" theme keeps all three stories going at a cracking pace' Daily Mail 'Truly enthralling... I simply adored this wonderful novel' Jessie Burton, author of The Miniaturist","'9781474600897","Weidenfeld & Nicolson"
"Luminaries, The","Catton, Eleanor","200.0","Historical fiction","","","","","","It is 1866, and Walter Moody has come to make his fortune upon the New Zealand goldfields. On arrival, he stumbles across a tense gathering of twelve local men, who have met in secret to discuss a series of unsolved crimes. A wealthy man has vanished, a whore has tried to end her life, and an enormous fortune has been discovered in the home of a luckless drunk. Moody is soon drawn into the mystery: a network of fates and fortunes that is as complex and exquisitely patterned as the night sky.","'9781847084323","Granta"
"Thinking of You","Mansell, Jill","170.0","Fiction / Romance / Contemporary","","","","","","USA Today Bestseller! Are you in the midst of one of those ""exciting"" phases of life, like the eerily quiet empty nest...or the new job with the distractingly attractive, off-limits boss...or a wacky new roommate who isn't at all as advertised? What about all of those at once... Is your life full of surprises? No? Well, what if it could be? You may begin to think you're living someone else's reality. And maybe, that's not a bad thing... International bestselling author Jill Mansell spins a poignant and funny story of mothers, daughters, friends, and lovers...and what happens when everything takes a turn for the unexpected. Praise for A Walk in the Park: ""What a fabulous read...laugh out loud moments, heartwarming and sweet.""—Wendy's Minding Spot ""Wonderful characters...Held me captivated.""—Long and Short Reviews ""A great read with drama, dry humor, and colorful characters.""—RT Book Reviews, 4 Stars ""Mansell excels at the ensemble romantic comedy, and her quirky but endearing characters shine once again.""—Booklist ""Charming...Mansell deftly weaves a web of poignant loves stories.""—Publishers Weekly","'9781402281310","Sourcebooks"
"Julius Caesar","Shakespeare, William","89.0","Juvenile Nonfiction / Literary Criticism & Collections","","","","","","Cambridge School Shakespeare offers an active approach to classroom Shakespeare, enabling students to inhabit Shakespeare's imaginative world in accessible and creative ways. As well as the complete scripts each title includes a running synopsis of the action, an explanation of unfamiliar words, and a wide range of classroom-tested activities to help turn the script into drama. This dramatic experience is at the heart of the series and students are encouraged to share Shakespeare's love of language, interest in character and sense of theatre.","'9780521409032","Cambridge University Press"
"Othello","Shakespeare, William","89.0","Literary Criticism / Shakespeare","","","","","","A prose retelling of Shakespeare's play in which a jealous general is duped into thinking that his wife has been unfaithful, with tragic consequences.","'9780521395762","Cambridge University Press"
"Lock-Up, The","Banville, John","120.0","Fiction / Mystery & Detective / General / Fiction / Thrillers / Suspense / Fiction / Thrillers / Crime","","","","","","With relations between the two men increasingly strained, and their investigation taking them back to the final days of the Second World War, can they join the pieces of a hidden puzzle? The Sunday Times bestselling author of Snow and April in Spain returns with Strafford and Quirke's most troubling case yet.[Bokinfo].","'9780571370986","Faber & Faber, Limited"
"Reversal","Connelly, Michael","140.0","Fiction, legal / Fiction, mystery & detective, police procedural / Bosch, harry (fictitious character), fiction / Los angeles (calif.), fiction / ","","","","","","","'9781409114413","Orion Publishing Group, Limited"
"Prime Suspect Cases, The","Plante, Lynda La","150.0","Fiction / Mystery & Detective / General / Fiction / Thrillers / Suspense / Fiction / Crime","","","","","","All three Prime Suspect cases, featuring DCI Jane Tennison, in one stunning volume PRIME SUSPECT When a prostitute is found murdered in her bedsit, the Metropolitan police set to work finding the perpetrator of this brutal attack. For Detective Chief Inspector Jane Tennison, this is the perfect opportunity to get herself noticed. But when every one of her colleagues is willing her to trip up, and the case is far from clear cut, will she be able to prove her mettle. PRIME SUSPECT 2: A FACE IN THE CROWD The coroner's report identifies the body as young, black, female, and impossibly anonymous. Yet one thing is clear to DCI Jane Tennison - that news of her murder will tear apart a city already cracking with racial tensions, hurling Scotland Yard and Tennison herself into a maelstrom of shocking accusations and sudden, wrenching violence. PRIME SUSPECT 3: SILENT VICTIMS As Vera Reynolds, drag queen and night club star, sways onstage singing, a sixteen-year-old rent boy lies in the older man's apartment, engulfed in flames. For DCI Jane Tennison, now head of the Vice Squad, this high-profile case threatens to destroy the career she fought so hard for. **Lynda La Plante's Widows is now a major motion picture**","'9781471154522","Simon & Schuster"
"Geneva","Armitage, Richard","200.0","Fiction / Thrillers / Suspense / Fiction / Thrillers / General / Fiction / Thrillers / Crime","","","","","","'Loved it!! Gripping from first page to last, there is no let up!' 5* reader review 'Absolutely fantastic debut novel. Intelligent thriller, great twists, strong women . . . Loved it!' 5* reader review 'The twists are fast and furious. What an ending. Be still my racing heart!' 5* reader reviewDISCOVER YOUR NEW FAVOURITE THRILLERSc[Bokinfo].","'9780571384402","Faber & Faber, Limited"
"House of Correction","French, Nicci","180.0","Fiction / Crime","","","","","","**HIGHLY COMMENDED FOR THE 2021 CWA GOLD DAGGER AWARD**    She''s a murderer.    Everyone knows she killed Stuart Rees - why else would his dead body be found in her shed?  So now Tabitha is in prison, awaiting trial.    Coming back to the remote coastal village where she grew up was a mistake. She didn''t fit in then, and she doesn''t fit in now.    That day is such a blur, she can''t remember clearly what happened. There is something she is missing, something important... She only knows one thing. She is not capable of murder.    And the only one she can trust to help her out of this situation is herself.  So she must fight. Against the odds.    For her life.     Beautifully written about prejudice, loneliness and fighting spirit, this new book by Nicci French is shocking, twisty and utterly compelling.    Praise for House of Correction:    ''A novel that blissfully plays with two genres: on the one hand an against-the-odds legal thriller à la John Grisham... and on the other a Miss Marple whodunnit set in a Devon village, where the amateur sleuth is herself the prime suspect and has to conduct her investigation from jail'' Sunday Times    ''Nicci French husband-and-wife writing team responsible for some of the UK''s best psychological thrillers have created a gem of a protagonist in Tabitha, who sets out to investigate what happened to herself, from prison... House of Correction allows the readers to puzzle out what happened alongside Tabitha, while cheering her effort'' Observer    ''First-class'' Independent    ''The husband-and-wife team of Nicci Gerrard and Sean French... have taken the ingredients of the classic village mystery and transformed them into something up to date and gripping'' Literary Review    ''Gritty and moving - the husband-and-wife team have scored another hit'' Best    ''A twisty and shocking read'' Bella    ''Engrossing... In this clever courtroom drama, Tabitha is on trial for the murder of a neighbour. The evidence against her is strong and due to the medication she takes, she has virtually no memory of what happened, but she''s sure she''s innocent and has to build a case to clear her name'' Good Housekeeping    ''I wanted everything to stop so I could read this book, there was something that grabbed me from the opening... This is a clever, well-crafted novel with twists and turns right until the end... Definitely a favourite read of mine for 2020'' Woman''s Way (Ireland)    ''Describing it as a suspenseful prison thriller, or riveting courtroom drama doesn''t do this meticulously written detective novel justice... As well as its finely drawn characters and clever storyline, this is a novel that provokes you into pondering the workings of the wider justice system, police methods and prison life'' Bookanista    ''Great writing, razor-sharp plotting, and powerful characterisation. I was 100 pages in before I even drew breath, and I defy anyone to see the ending coming'' Cara Hunter    ''Part ingenious locked-room mystery. Part you''ve-got-thewrong-person nightmare drama. Part intricate memory game. Yet all seamlessly woven together. French''s best book yet'' A J Finn    ''Clever, compelling, original and twisty. This unputdownable David-and-Goliath story has the flawed, funny, totally unforgettable Tabitha at its heart and I read until the early hours, desperate to know her fate'' Erin Kelly","'9781471179303","Simon & Schuster, Limited"
